code,name,description,category,brand,price
PPA1,Pressure Plate Assembly,Oil Immersed Steel Plate for Mahindra Model - MM1,Pressure Plate Assembly,Mahindra,500
CPA1,Clutch Plate,Oil Immersed Steel Plate,Clutch Plate for Mahindra Model - MM1,Mahindra,9000
IBP1,Oil Immersed Brake Plate,Oil Immersed Steel Plate for Mahindra Model - MM1,Oil Immersed Brake Plate,Mahindra,6780
ISP1,Oil Immersed Steel Plate,Oil Immersed Steel Plate for Mahindra Model - MM1,Oil Immersed Steel Plate,Mahindra,7856
PPT1,Pressure Plate Tawa,Pressure Plate Tawa for Mahindra Model - MM1,Pressure Plate Tawa,Mahindra,2341
PPA2,Pressure Plate Assembly,Pressure Plate Assembly,Pressure Plate Assembly for John Deer Model - JD1,John Deer,9012
CPA2,Clutch Plate,Clutch Plate,John Deer for John Deer Model - JD1,John Deer,232
IBP2,Oil Immersed Brake Plate,Oil Immersed Brake Plate for John Deer Model - JD1,Oil Immersed Brake Plate,John Deer,7632
ISP2,Oil Immersed Steel Plate,Oil Immersed Steel Plate for John Deer Model - JD1,Oil Immersed Steel Plate,John Deer,21312
PPT2,Pressure Plate Tawa,Pressure Plate Tawa for John Deer Model - JD1,Pressure Plate Tawa,John Deer,1234
